F1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
F2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
F3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
F4,0.00E+00,7.08E+01,3.99E+00,6.93E+00,1.52E+01
F5,2.98E+00,1.59E+01,7.96E+00,8.08E+00,3.14E+00
F6,0.00E+00,4.56E-02,0.00E+00,2.95E-03,1.05E-02
F7,3.59E+01,4.85E+01,3.90E+01,3.98E+01,3.17E+00
F8,3.72E+00,1.59E+01,7.96E+00,7.95E+00,2.66E+00
F9,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
F10,1.02E+03,2.02E+03,1.48E+03,1.47E+03,2.92E+02
F11,9.95E-01,5.86E+01,5.97E+00,8.12E+00,1.10E+01
F12,4.70E+02,2.30E+03,1.08E+03,1.18E+03,4.34E+02
F13,2.21E+00,3.64E+01,2.09E+01,1.97E+01,8.52E+00
F14,7.51E+00,2.60E+01,2.31E+01,2.28E+01,3.42E+00
F15,1.33E+00,7.06E+01,1.01E+01,1.25E+01,1.32E+01
F16,3.26E+00,1.32E+02,1.42E+01,5.57E+01,5.83E+01
F17,1.40E+01,5.28E+01,3.42E+01,3.60E+01,9.18E+00
F18,2.12E+01,5.11E+01,2.98E+01,3.05E+01,7.56E+00
F19,5.11E+00,2.75E+01,9.33E+00,1.09E+01,4.88E+00
F20,1.71E+01,5.92E+01,4.03E+01,4.15E+01,1.04E+01
F21,2.04E+02,2.14E+02,2.08E+02,2.08E+02,2.02E+00
F22,1.00E+02,1.00E+02,1.00E+02,1.00E+02,0.00E+00
F23,3.40E+02,3.66E+02,3.59E+02,3.57E+02,7.50E+00
F24,4.15E+02,4.33E+02,4.26E+02,4.25E+02,4.44E+00
F25,3.79E+02,3.87E+02,3.80E+02,3.81E+02,2.67E+00
F26,8.54E+02,1.13E+03,9.89E+02,9.91E+02,7.57E+01
F27,4.88E+02,5.22E+02,5.02E+02,5.04E+02,9.06E+00
F28,3.00E+02,3.00E+02,3.00E+02,3.00E+02,4.33E-13
F29,3.65E+02,4.53E+02,4.37E+02,4.27E+02,2.06E+01
F30,1.70E+03,2.36E+03,1.93E+03,1.95E+03,1.69E+02
